frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,hands_used,wrist_forward_px,wrist_forward_cm,shoulder_elevation_px,shoulder_elevation_cm,mid_shoulder_x,trunk_x_displacement_px,trunk_x_displacement_cm,elbow_flexion_angle,speed_px_s
37,1.2300444444444443,666.4802372052827,660.9814053197944,732.9404254607248,860.5386730855279,492.06131749023336,854.4221384940842,565.8471262639775,1094.2813490995693,422.75670594004634,708.9152310073194,1.0,-17.45762727198087,-2.4321788086272065,14.269691344140597,1.9880388297997953,544.6184715726645,-22.457220069684922,-3.1287169730006323,70.12569939655206,82.27311290452172
38,1.263288888888889,665.9704375318848,660.6280277695317,733.6644839147057,860.0374328319232,489.10417439169146,853.7396818351417,566.0373687052517,1094.1044298704169,421.858526862753,709.1011862526307,1.0,-20.414770370522774,-2.8441649660986354,14.623068894403218,2.037271029330873,543.9144821973189,-23.161209445030522,-3.226796054054354,69.77393729402354,104.1712551042085
39,1.2965333333333333,665.3132500816484,660.3195933813892,734.1194304136029,859.9192715159279,485.73455488701404,851.3080097054711,566.3043125464878,1094.062901963777,421.1344174011099,709.1801633305068,1.0,-23.78438987520019,-3.3136169153659307,14.931503282545805,2.080241793398926,543.2238337413792,-23.85185790097023,-3.3230164918365075,68.99426368363034,123.23048910048922
40,1.3297777777777777,664.4215283502233,659.0970041997446,734.2428542492918,859.9480790419527,481.7915619509097,849.8575190766433,566.1604043638995,1094.0369642756523,420.7452564599908,709.2313817926878,1.0,-27.72738281130455,-3.8629506657291115,16.1540924641904,2.250571670015398,542.583392405107,-24.492299237242378,-3.4122421249642136,68.54223826248288,129.7404501762598
41,1.3630222222222221,663.2208577775845,657.5307121477599,733.8471700620082,860.0882805765957,477.51205730718806,849.3065925426679,566.1679570131947,1092.734432756757,419.7692941053198,709.4140608259065,1.0,-32.006887455026174,-4.459166883644757,17.720384516175045,2.4687858796332454,541.4950759414521,-25.580615700897283,-3.5638652635925605,68.36923367514926,119.38985772617505
42,1.3962666666666665,661.7531564191258,656.4481617913153,732.7016230853319,859.8520925228747,473.8213684894611,849.4106124705398,566.2423659914682,1089.881358482151,418.78126230997543,709.514326331363,1.0,-35.69757627275311,-4.973349881818845,18.80293487261963,2.619605690091806,540.2672093645506,-26.808482277798817,-3.7349303815284114,68.46126039166035,97.5736290581288
43,1.429511111111111,659.9408968756301,655.778748220073,731.5034444712724,858.8363492089518,471.00986809719,849.9572246582397,565.9241450461968,1087.626268825157,417.81659593569464,709.45753946325,1.0,-38.509076665024224,-5.365045246142715,19.47234844386196,2.7128677054171173,538.8787464056624,-28.196945236687043,-3.928369623445999,68.63406004407365,81.65136759683219
44,1.4627555555555554,657.137298802193,655.4502259031832,731.0091527043869,857.7917962909255,468.4397175117872,849.223885169895,565.2381535446577,1087.4752583573186,414.8362628744878,709.577462921204,1.0,-41.07922725042704,-5.723116001773429,19.800870760751764,2.7586370992099902,535.9867808383403,-31.08891080400906,-4.331275313809158,68.07466781142192,84.03985563310815
45,1.496,653.4829997209964,655.2250898763255,730.4943051459514,857.3336462256143,465.56841428963736,848.7334195049604,564.3126876598511,1088.2063430370642,410.09949094483903,709.8453043359788,1.0,-43.95053047257687,-6.123143035301877,20.026006787609504,2.790002820625108,531.7912453329177,-35.2844463094317,-4.915793037103071,67.28186606746327,86.91647598711349
46,1.5292444444444444,650.5008305724187,654.6545176259941,729.0132174476969,857.192972723646,462.6926532278306,850.2693665412146,562.9387238901044,1088.8262303362917,406.2197067037042,709.893689192233,1.0,-46.82629153438364,-6.523791130500215,20.59657903794084,2.8694943640305457,528.3602686380615,-38.71542300428791,-5.393793207465068,67.32238504176212,81.35904741946315
47,1.5624888888888888,648.7778291737814,654.0916348828456,726.9762163236621,857.2295582006375,460.2608643946766,850.4657690867459,561.2439312909509,1090.1361947966939,403.7043667571227,709.898160734256,1.0,-49.258080367537616,-6.86258546806441,21.159461781089362,2.9479146131456733,526.241097965452,-40.834593676897384,-5.689033902061486,67.49299495440697,79.26731487592367
48,1.5957333333333332,647.531745230539,654.0080474073233,725.0753677646546,857.1034979606162,457.90093234069616,848.6905343661638,560.1668542508048,1091.7576870005494,401.99404249224335,710.3061817787508,1.0,-51.618012421518074,-7.191368792514438,21.243049256611698,2.9595599348990116,524.7628938613911,-42.31279778095825,-5.894975788705665,67.29913446533489,62.7600442800596
49,1.6289777777777776,646.2996627500439,653.7667729774366,723.154347896849,856.2530661725457,456.2522435773509,848.4795307031688,560.0879955155451,1091.8424543384608,401.59542408513744,710.8833221872457,1.0,-53.26670118486334,-7.421062427838292,21.48432368649833,2.993174042148037,523.9475434175906,-43.128148224758775,-6.008569580125375,67.5472212337108,27.862121898276968
50,1.662222222222222,644.849153983062,652.5667246419555,720.6976216871224,854.8809523636044,456.026221334144,849.0209729265354,560.2319269897564,1090.2578982361222,402.11070173219605,711.1643865361073,1.0,-53.492723428070235,-7.452551616010416,22.68437202197947,3.1603635510895005,523.479927857629,-43.59576378472036,-6.073717302539422,68.18040886162268,26.806922200307827
51,1.6954666666666667,643.0154018072612,650.8254699369252,717.9523542208472,853.3918546074875,454.81592483584785,848.8425951475024,560.0808133268763,1088.4417191176221,402.01371027492655,711.2186263435632,1.0,-54.70301992636638,-7.621168888532674,24.425626727009785,3.4029533789061537,522.5145560410939,-44.5611356012555,-6.2082119184481455,68.70819865561707,59.34709224227287
52,1.728711111111111,641.2708509654225,649.6663052814357,716.0254227190795,851.9260183970032,452.0483119557831,849.6863559610506,559.7336334891404,1086.9092560511713,400.9894258102541,711.0485126975042,1.0,-57.47063280643113,-8.006749889461753,25.584791382499247,3.564447015290294,521.1301383878383,-45.94555325451108,-6.401087572514941,69.22973836215765,62.31982720706181
53,1.7619555555555555,639.9823595636403,649.4454705880337,714.8747994748682,850.978986956446,450.57829522409895,850.4195689575871,559.3553522766654,1085.3202584664887,400.0707512509554,710.2873374317504,1.0,-58.94064953811528,-8.21155111974509,25.805626075901273,3.5952134793196953,520.0265554072979,-47.04913623505149,-6.554837626689827,69.49301430794321,49.37911266428516
54,1.7952,638.9273633066335,649.6012251685564,713.0852703115615,850.8402960003282,449.2481122458995,849.4050301954566,559.0503512627564,1083.9926811767414,399.7739792883416,709.0076163107944,1.0,-60.27083251631473,-8.39687085425253,25.649871495378534,3.5735139101748072,519.3506712974876,-47.72502034486183,-6.649001110842508,69.4591455251792,68.52921592353286
55,1.8284444444444443,637.9944483728718,649.7183779945078,710.8144042390009,850.910811396496,446.07834944290204,848.7387656876218,558.3062597517986,1083.5929826232345,399.5217525699311,707.9010844163353,1.0,-63.440595319312195,-8.838478971880216,25.53271866942714,3.557192298067354,518.7581004714015,-48.317591170947935,-6.731557473363232,69.6326144841875,80.84470898811543
56,1.8616888888888887,637.1356028794135,649.7686007673896,709.3328497219543,850.8301484905999,443.7150975336674,849.002069936672,556.6802062525993,1083.7703873734526,398.8830043829385,707.4278923955324,1.0,-65.80384722854683,-9.167724815174937,25.4824958965454,3.5501953126230887,518.009303631176,-49.066388011173444,-6.8358790846790205,69.85346070705987,58.19311899364442
57,1.8949333333333331,636.2218738281921,649.6516120760173,707.9850909047648,850.9878570942032,442.52172118422925,849.0334270039413,555.292205702559,1083.6206311176713,398.1520827460622,707.3671919323031,1.0,-66.99722357798498,-9.33398478983248,25.599484587917686,3.5664940576685495,517.1869782871272,-49.888713355222194,-6.950444612080472,69.96034726616388,55.792466417275804
58,1.9281777777777778,635.5020668483845,649.3576285989213,705.732007262669,851.2356426262065,439.9620618312154,848.9543913697879,555.1966037682847,1083.083882564159,397.55620754709145,707.3438546292591,1.0,-69.55688293099882,-9.690593917677509,25.89346806501362,3.6074515355628605,516.529137197738,-50.54655444461139,-7.042094361048625,70.32629076591623,82.58310111513099
59,1.9614222222222222,635.1338181065119,649.1412663494924,703.6385750581447,851.330760679071,436.87498966328803,848.5591849939701,555.4520666628385,1082.6604478206657,397.0666555135615,707.2105994308217,1.0,-72.6439550989262,-10.120681660448057,26.109830314442547,3.6375949032639534,516.1002368100367,-50.97545483231272,-7.101848325188611,70.68760759021224,79.94308350516536
60,1.9946666666666666,634.7820430201064,649.1089637575587,702.6794707749233,852.0376451226991,434.88270999385884,848.4876235969248,555.0624346241085,1082.4521663140226,396.79317280512896,706.9512634264652,1.0,-74.6362347683554,-10.39824403002743,26.14213290637622,3.642095267393671,515.7876079126177,-51.28808372973174,-7.145403464006781,70.74090451315608,51.389497633275745
61,2.027911111111111,634.3379312340417,649.1391523785088,701.7921798398949,853.1820757879029,433.4461969830437,849.3778654929082,554.5480437043831,1082.275485361147,396.7252733917003,706.7118551001454,1.0,-76.07274777917053,-10.598377556124039,26.111944285426148,3.6378894195431855,515.531602312871,-51.544089329478425,-7.18106990280131,70.89450704382743,46.81520399368347
62,2.0611555555555556,633.9614029153702,649.2719494068656,699.983471009197,853.5193172199178,431.8662199156049,848.9633524224644,554.4636521559598,1082.1329391110646,396.62991199909436,706.6220836708532,1.0,-77.65272484660932,-10.8184983481236,25.97914725706937,3.619388273128151,515.2956574572322,-51.78003418511719,-7.213941499207211,71.11329948451015,57.754200884910276
63,2.0944,633.6024431539972,649.6140163584939,697.7673555030867,853.5446777831701,430.00963673946046,847.3135429784153,554.5806118268008,1082.1147726018248,396.39942874900606,706.6830592044689,1.0,-79.50930802275377,-11.077155620794308,25.63708030544103,3.5717318546515435,515.0009359515017,-52.074755690847724,-7.255001798497423,71.20117548846663,51.6375417812138
64,2.1276444444444444,633.2483393894383,650.0073431106941,695.7943282639101,854.1756205324114,428.6921373895253,847.7181986961451,554.5621917609033,1082.1262752275034,396.05536247762234,706.9674979596805,1.0,-80.8268073726889,-11.260708285160979,25.243753553240822,3.5169339730916076,514.6518509335303,-52.42384070881906,-7.303635966812027,71.58289730766877,35.965826950700205
65,2.1608888888888886,633.0357048187009,650.2572149250059,694.383008573973,854.6834061067055,428.396415613231,849.2799875983696,554.4878085144742,1082.053604449313,395.68781438105236,707.3382097196343,1.0,-81.12252914898323,-11.30190794112494,24.993881738929076,3.4821220870217484,514.3617595998767,-52.71393204247272,-7.344051195255542,72.13197323106728,27.924645864458085
66,2.1941333333333333,632.9824126630534,650.3911207296231,693.9397509511455,854.7425819657511,427.7678636048775,849.3796295993591,555.02478109928,1082.0004902680732,395.3902656809423,707.4690314171669,1.0,-81.75108115733673,-11.389477165225115,24.85997593431182,3.46346646703008,514.1863391719978,-52.88935247035158,-7.368490590176755,72.23607353866265,33.05684638937579
67,2.2273777777777775,633.018638359255,650.4703571696183,694.2300818794035,854.8185024914806,426.3328534348966,848.8191311191466,556.4583876380163,1082.019575399981,395.18982721757544,707.4353849180354,1.0,-83.18609132731763,-11.589401317070983,24.780739494316663,3.452427327104313,514.1042327884152,-52.97145885393422,-7.379929567713137,72.04179683473306,45.841306044921666
68,2.260622222222222,633.0565358650308,650.4566902513361,694.4200367360813,854.9133774078365,425.0964140563327,847.9735817261501,557.8391997976069,1081.9260476082989,395.14785704200716,707.4423962952835,1.0,-84.42253070588151,-11.761660788982256,24.794406412598846,3.4543313882065063,514.102196453519,-52.973495188830384,-7.380213267811928,71.81790211536595,44.21317954594084
69,2.2938666666666667,633.0352456101148,650.3726208767108,694.3525064610927,855.3502355612909,424.24927099948997,846.6952127978986,558.3367001790825,1081.6548142043403,395.10794633451457,707.3960850469217,1.0,-85.26967376272427,-11.879683894793178,24.878475787224147,3.4660438476508872,514.0715959723146,-53.00409567003476,-7.384476495612565,71.51058341045021,28.905053667392764
70,2.327111111111111,633.0401075811404,650.3849266538452,694.6476104935709,856.423358500227,423.5941105412198,846.5687653002915,558.3565426032584,1081.3064344753998,394.93990941220835,707.247944546993,1.0,-85.92483422099446,-11.970960180970552,24.866170010089718,3.464329419343778,513.9900084966744,-53.085683145675034,-7.3958431794241815,71.27065695664571,26.97109632927129
71,2.3603555555555555,632.9955844426811,650.4792897555872,695.4839777351483,857.4832652216289,422.80091745392593,847.5417227405383,558.5622335423418,1080.920063076461,394.7922509057356,707.1372061497956,1.0,-86.7180273082883,-12.08146703210272,24.7718069083478,3.4511828483466194,513.8939176742083,-53.1817739681411,-7.409230454708758,71.11450573697456,34.61880724361163
72,2.3935999999999997,632.6102879123698,650.2958949804388,696.1690578070269,857.9659720867912,421.62030037189663,848.0998133889454,558.8581352205783,1080.7220106158459,393.95712806537864,707.1467103064285,1.0,-87.8986443903176,-12.2459493986511,24.95520168349617,3.476733221188221,513.2837079888742,-53.7919836534752,-7.494244245091983,70.92484088030909,37.55389275836842
73,2.4268444444444444,631.9974089410315,649.7463326488839,696.2792017956612,857.6734310224285,420.47389974652793,847.7500216413649,558.7715188341323,1080.9861315159285,391.96133741907977,707.1461788889272,1.0,-89.0450450156863,-12.405664763389916,25.504764015051023,3.5532976841592423,511.97937318005563,-55.096318462293766,-7.675962839030286,70.76012201937567,50.81534375612702
74,2.4600888888888885,631.285665224431,649.312725624538,696.2495822556563,856.6261645388429,418.84758174111704,846.3182461316893,558.3589966677548,1081.506959023493,390.2134193476687,707.0428287254022,1.0,-90.67136302109719,-12.63224172755719,25.938371039396998,3.6137073721114423,510.74954228604986,-56.32614935629954,-7.847301623619682,70.47298922478623,79.39690200886234
75,2.493333333333333,630.146696599896,649.2734345063599,696.3476851158761,855.7112772985545,415.8757731927328,844.8368152678696,557.8198821723031,1081.923740454049,388.50014770526195,707.1215508397183,1.0,-93.64317156948141,-13.046271060528346,25.977662157575082,3.6191813705827798,509.323422152579,-57.75226948977041,-8.045987224655022,69.99950630575117,106.37336187044991
76,2.526577777777778,628.8255996619744,649.3033121519737,696.3558954378243,855.6298594204861,412.03481179684695,844.6531533411165,556.9217652763646,1082.1713696161096,384.57649975835255,707.4885110968253,1.0,-97.48413296536728,-13.581389880874703,25.94778451196123,3.615018847498654,506.7010497101635,-60.37464193218591,-8.411333476090212,69.66591998668214,116.91609907895477
77,2.559822222222222,627.6888808585949,649.1246332849869,696.313791351688,855.6601486298931,408.16819363203706,844.9074738012583,555.9526807708367,1082.5131559901324,379.6958953149773,707.7107700587458,1.0,-101.35075113017717,-14.120083176073951,26.126463378948074,3.639912204829774,503.6923880867861,-63.383303555563316,-8.83049714184524,69.48295776461887,97.47220880464465
