frame,time,fps,frame_width_px,frame_height_px,tracked_x,tracked_y,marker_detected,marker_radius,marker_score,pose_wrist_x,pose_wrist_y
24,0.3979746835443038,60.30534351145038,1920,1080,1050.72900390625,563.0404663085938,1.0,21.193134307861328,0.7182348728085548,,
25,0.41455696202531644,60.30534351145038,1920,1080,1048.9583740234375,554.351806640625,1.0,21.189720153808594,0.7137695845589609,,
26,0.4311392405063291,60.30534351145038,1920,1080,1047.51416015625,546.8823852539062,1.0,21.049692153930664,0.7280572969960984,,
27,0.44772151898734175,60.30534351145038,1920,1080,1046.1746826171875,538.6343994140625,1.0,21.667818069458008,0.715801954907037,,
28,0.46430379746835443,60.30534351145038,1920,1080,1044.802490234375,531.07177734375,1.0,21.193134307861328,0.7262104759627508,,
29,0.4808860759493671,60.30534351145038,1920,1080,1043.4505615234375,523.7254638671875,1.0,21.66227912902832,0.7045068674438963,,
30,0.49746835443037973,60.30534351145038,1920,1080,1042.2054443359375,516.0861206054688,1.0,21.837451934814453,0.7056771135259675,,
31,0.5140506329113924,60.30534351145038,1920,1080,1040.5325927734375,509.1065673828125,1.0,21.667818069458008,0.708555468683176,,
32,0.5306329113924051,60.30534351145038,1920,1080,1039.1663818359375,502.7836608886719,1.0,21.523956298828125,0.7284037928882767,,
33,0.5472151898734178,60.30534351145038,1920,1080,1037.999755859375,496.2725524902344,1.0,21.85318946838379,0.7018855228485315,,
34,0.5637974683544303,60.30534351145038,1920,1080,1036.7872314453125,489.15692138671875,1.0,21.364913940429688,0.7146228655925042,,
35,0.580379746835443,60.30534351145038,1920,1080,1036.0496826171875,483.0364990234375,1.0,21.667818069458008,0.7022803123113905,,
36,0.5969620253164557,60.30534351145038,1920,1080,1035.2388916015625,476.7563171386719,1.0,21.83310890197754,0.7063887305623914,,
37,0.6135443037974684,60.30534351145038,1920,1080,1034.4344482421875,470.1213073730469,1.0,21.66227912902832,0.713677962759734,,
38,0.6301265822784811,60.30534351145038,1920,1080,1033.2020263671875,464.5020446777344,1.0,21.189720153808594,0.7140997592701022,,
39,0.6467088607594936,60.30534351145038,1920,1080,1032.3804931640625,458.46478271484375,1.0,21.8289794921875,0.6974392347465349,,
40,0.6632911392405063,60.30534351145038,1920,1080,1031.903564453125,452.7837219238281,1.0,21.688003540039062,0.715251799160985,,
41,0.679873417721519,60.30534351145038,1920,1080,1031.064208984375,447.2837219238281,1.0,21.360109329223633,0.7226292076399019,,
42,0.6964556962025317,60.30534351145038,1920,1080,1030.424072265625,442.1700134277344,1.0,21.50591278076172,0.7041430372739476,,
43,0.7130379746835444,60.30534351145038,1920,1080,1029.9910888671875,436.56268310546875,1.0,21.85318946838379,0.7261333361874249,,
44,0.7296202531645569,60.30534351145038,1920,1080,1029.413818359375,431.6956787109375,1.0,21.42446517944336,0.720780300591692,,
45,0.7462025316455696,60.30534351145038,1920,1080,1028.81591796875,426.48321533203125,1.0,21.547119140625,0.7160888404707112,,
46,0.7627848101265823,60.30534351145038,1920,1080,1028.3897705078125,421.1297912597656,1.0,22.00581169128418,0.7109499549909059,,
47,0.779367088607595,60.30534351145038,1920,1080,1027.7147216796875,416.91217041015625,1.0,21.386791229248047,0.7295775654056702,,
48,0.7959493670886076,60.30534351145038,1920,1080,1027.4193115234375,412.07452392578125,1.0,21.570159912109375,0.7182348728085548,,
