frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,opp_hip_x,opp_hip_y,hands_used,speed_px_s,nvp_marker
76,1.2602531645569621,190.01056475107694,761.0864008161097,429.9481025511021,985.8376915857531,789.3542112459422,1025.7062748947578,189.98109464747267,1266.456799628143,273.8620936747578,766.2446145682624,271.2165806408192,1204.9666753468082,1.0,149.69813191704617,0
77,1.2768354430379747,191.18565848171198,763.7245035647924,434.51058429858836,985.6002287049278,791.8075801806085,1026.1371971989472,193.45237239397977,1264.9827563772908,272.8176686683924,766.5005625621591,273.98526447458204,1201.3092399896434,1.0,155.55954963142426,0
78,1.2934177215189873,191.94184606402402,766.010030540356,440.42744720472274,985.0166721643288,794.4396534309353,1026.516828297272,196.7993057455274,1262.7528396528076,272.52841673796945,766.8707553255869,276.40359108294217,1198.1366914985288,1.0,159.7354523255472,0
79,1.31,192.5297799260639,767.4951680791744,446.57544153821135,984.1382282682919,797.1586780261385,1026.86935671805,199.06251267389547,1260.2675365012165,272.4669542527273,767.2795978347855,277.5261099591093,1195.7690987540184,1.0,158.24513301382478,0
80,1.3265822784810126,193.29702597011124,768.2206943523463,451.94236288622295,983.2249477549587,799.7571447088549,1027.1799041156328,200.15548459044638,1257.7695347913016,272.0474320563031,767.4562489144903,277.51824928445865,1193.6097164219452,1.0,149.71529817253966,0
81,1.3431645569620254,194.33848102501508,768.5927519160513,456.0171690784688,982.5492872976341,802.0692309652452,1027.4191500428049,200.64619339404226,1255.207889490406,271.145766992968,767.1566827691603,277.36677974331036,1190.9128151944903,1.0,135.11694660716668,0
82,1.359746835443038,195.36474175569157,768.9686288053315,458.70363065554477,982.1242038506018,804.0686388524523,1027.5652304998182,201.1731571065278,1252.423399003192,270.3900306899714,766.385777283677,278.2743012318454,1187.5722272849805,1.0,116.64942961739172,0
83,1.3763291139240506,195.97427442870173,769.3537620092192,460.1159763031512,981.6362553924085,805.8169672306115,1027.5981202370426,202.094340560204,1249.354439415003,270.8326617314341,765.4157121446499,281.0521134261031,1184.199787950394,1.0,96.97672989005278,0
84,1.3929113924050633,196.11954926145813,769.4920968247559,460.60694502838385,980.7137753977967,807.3479708258719,1027.5082348906876,203.53509611846,1246.1338520481586,273.06875534951035,764.5681593550701,285.66374366337953,1181.5260528819715,1.0,79.24930486266906,0
85,1.409493670886076,196.29126668021138,769.2205984686896,460.9115617911825,979.312115314608,808.635764570679,1027.338427799306,205.52111251749528,1243.0605035500703,276.53878308466324,763.9604858544469,291.12873912439545,1179.7838478176463,1.0,67.11235675466214,0
86,1.4260759493670887,197.15270449274445,768.7022585113943,461.9646469517967,977.8241183690138,809.6840944354641,1027.2020636963996,207.91845103009857,1240.4588857917445,279.8203016250559,763.4637380873862,296.0037946640055,1178.6332988717022,1.0,63.56688165564369,0
87,1.4426582278481013,198.91843005184393,768.3061870437522,464.26920671340764,976.766662060816,810.6250318883064,1027.2237919963009,210.32483147275912,1238.4561238250708,281.7857389166786,762.8953272868059,299.2655667602505,1177.5490508946546,1.0,68.76095759625925,0
88,1.4592405063291138,201.10250496887056,768.2787742881505,467.3662537175057,976.331042931587,811.6899592616347,1027.4447675259066,212.2198306746671,1236.831502211917,282.50509562393347,762.2236730346339,300.9194293408046,1176.1931121050186,1.0,78.49844029468757,0
89,1.4758227848101266,202.9195134871254,768.5462469955697,470.06849209164136,976.2313823989778,813.0392714074537,1027.7881628026475,213.33314470316404,1235.1598504518013,282.9666254459101,761.5843188778277,301.7648206444328,1174.5082221453877,1.0,85.48764794769319,0
90,1.4924050632911392,203.93380197869132,768.822698136452,471.3531472309778,975.9778437818981,814.5942335363718,1028.1204387520652,213.84877295778082,1233.2187620642376,283.9505463944106,761.1363606198623,302.5619877922085,1172.6339009701571,1.0,83.33841436778879,0
91,1.508987341772152,204.31766278653814,768.8797975832248,471.0787044607732,975.2943874873871,816.0479393603433,1028.3483938432576,214.22500384232043,1231.285635674861,285.26764050519927,760.9324163471142,303.47098923708586,1170.8026633750624,1.0,70.66789093669927,0
92,1.5255696202531646,204.55090533726968,768.7109873028339,469.9232803599399,974.30817136518,817.0839224101917,1028.4708785915707,214.82260768142186,1230.0086481330595,286.0874435821112,760.9093684009986,304.25640259049584,1169.2538712653197,1.0,52.03290245147813,0
93,1.5421518987341771,204.9588222509873,768.4783014301523,468.7648763793534,973.3910252850321,817.624093788173,1028.560613529359,215.67415773496262,1229.9669986170984,285.86888610091387,760.9643568652234,304.8297147665105,1168.186092639176,1.0,34.734394773558975,0
94,1.55873417721519,205.5254552002757,768.3453216786451,468.1279700389409,972.8448261719866,817.8739078670299,1028.7057761951273,216.53914411679597,1231.3022147044658,284.87066698072505,761.0240979011587,305.412494558696,1167.7810611828954,1.0,23.940770649032203,0
95,1.5753164556962025,206.0416778126424,768.3621784211101,468.0483697296209,972.7120917135511,818.1156398395393,1028.9514071577892,217.14815705190094,1233.6553620572943,283.8324486943693,761.0622991222689,306.2172327248973,1168.2276739665854,1.0,19.94087055319879,0
96,1.5918987341772153,206.35002803953878,768.4744608074009,468.26956670703794,972.8250051559777,818.4520718935556,1029.272054036639,217.42085654511607,1236.365418214326,283.3109914496255,761.081912679807,307.1488217498046,1169.605967230915,1.0,19.343496376747677,0
97,1.6084810126582278,206.4620388937327,768.6065588999815,468.5086228026587,972.9833053193155,818.75017254436,1029.5931138062115,217.49111969461353,1238.7602294866613,283.34337491345013,761.0938425559141,307.8960818474092,1171.6649682130965,1.0,18.599945613177397,0
98,1.6250632911392404,206.5091375773232,768.728004651378,468.62149570384116,973.084835929829,818.8194881281792,1029.848335274215,217.55035215883157,1240.399392795709,283.608138078249,761.1050310135788,308.2433588820506,1173.7714497478105,1.0,16.639624618006287,0
99,1.6416455696202532,206.62442544879687,768.8568745333076,468.6473236084887,973.1331517978921,818.626419578808,1030.0314020413248,217.66963249746917,1241.1898696625674,283.77712317992825,761.1146170952605,308.2260335402719,1175.2199211077989,1.0,14.895732041450715,0
100,1.6582278481012658,206.85647007877563,769.019676312968,468.76025888304054,973.1701591873507,818.3391774562289,1030.2032513042045,217.74862439722617,1241.3429145101957,283.7294821297513,761.1162037136597,308.02425894665043,1175.6846716435525,1.0,15.554592242810207,0
101,1.6748101265822786,207.14765989732106,769.2122836932932,469.12650096584895,973.2172212338935,818.1835733647018,1030.4532864465511,217.6097092760452,1241.2041818433777,283.55564836577844,761.1050325114898,307.78735524712454,1175.3870670289089,1.0,19.877293783956393,0
102,1.6913924050632911,207.3588530463867,769.3901712729996,469.68697571080645,973.2642042609098,818.2501471188154,1030.8484457375453,217.14287881714117,1241.0625213677292,283.45597150930945,761.0861007577755,307.57444539643143,1174.8428409852083,1.0,27.572669531901777,0
103,1.7079746835443037,207.31829010662676,769.4896093330348,470.00278034978123,973.2916572597471,818.4091254621767,1031.405253233741,216.38454456932578,1241.0456296264806,283.6299123359339,761.0774809535424,307.4027572626088,1174.4676989951513,1.0,36.99607298714393,0
